User Type,Source,Medium,Browser,Device Category,Date,Pageviews
New Visitor,(direct),(none),Chrome,mobile,2020-07-29,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-08,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-25,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-28,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-06,1
New Visitor,(direct),(none),Chrome,mobile,2020-08-06,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-22,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-21,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-28,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-29,1
New Visitor,(direct),(none),Chrome,mobile,2020-07-30,3
